PartitionKey,RowKey,Timestamp,Check1,Check2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,isTurk,clickedPlay,time,correctCount,lyrics,Q12
musictests,Rebecca Hood761b046c-7cee-46da-bf1c-2906a1b53285,2018-08-07T00:25:29.471Z,A,A,C,B,E,C,D,C,B,A,G,B,A,B,true,true,-402,4,false,
musictests,Rebecca Hood941573a8-1b3d-495b-bbe2-8a52de7b0129,2018-08-07T00:27:51.293Z,A,A,C,B,E,C,D,C,B,A,G,B,A,B,true,true,-68,4,false,
musictests,Richarda8a07166-a1ae-4fff-89b4-de424d4d8b50,2018-08-07T00:28:23.138Z,A,A,C,B,D,E,A,E,A,A,H,A,A,B,true,true,-199,2,false,
musictests,Rita Nelsonb107e915-af3a-49fe-a4ea-b19a9f092d4b,2018-08-07T00:24:21.504Z,A,A,E,B,C,D,E,F,B,A,H,B,A,B,true,true,-282,1,true,
musictests,Samantha Shearerfb0edb58-80aa-452d-8a87-99802a9c66f5,2018-08-07T00:29:06.788Z,A,A,C,C,C,C,B,D,B,A,E,A,A,B,true,true,-284,1,true,
musictests,Sara64578aab-b21f-4af5-9b97-3ebd13127018,2018-08-07T00:34:42.051Z,A,A,C,B,C,A,C,C,B,B,D,A,A,B,true,true,-306,3,true,
musictests,Sarahe22fa3aa-e6a9-44c9-b000-efeae80329a7,2018-08-07T00:39:59.484Z,A,A,C,B,E,A,D,E,B,A,H,A,A,B,true,true,-313,5,true,
musictests,Scottedbbb1bd-338b-446b-b525-9edfea3cf284,2018-08-07T00:26:37.200Z,A,A,C,D,C,A,D,D,A,B,D,B,A,B,true,true,-325,3,false,
musictests,Shadi Safie1487d30-d947-40df-8d25-a97e785f660d,2018-08-02T21:56:21.258Z,A,A,C,B,E,C,D,D,A,A,H,Medical scribe ,A,,null,true,-577,4,false,B
musictests,Shar9caef6de-f735-4a46-8866-abb42dc12a7f,2018-08-07T00:32:55.200Z,A,A,C,A,E,C,D,F,B,B,H,B,A,B,true,true,-358,3,false,
musictests,Sofia Hurtado40a6d1e1-f28a-41b6-a814-4cdf0c49486a,2018-08-03T06:03:45.814Z,A,A,C,B,E,A,D,C,B,B,H,Software engineer ,A,,null,true,-506,5,false,B
musictests,Stephanie3e09e35d-95f5-4397-96fd-a6c0812e13de,2018-08-07T00:39:25.081Z,A,A,C,B,A,E,D,E,B,B,H,B,A,B,true,true,-301,3,false,
musictests,TW4654f469-f8df-4c66-aecd-3b54e4d798e7,2018-08-07T00:24:03.034Z,A,A,C,B,C,A,D,D,A,A,G,A,A,B,true,true,-268,4,true,
musictests,Trangf84e196d-9a96-48e6-b86e-cddd275e8601,2018-08-08T03:41:11.773Z,A,A,C,B,E,A,A,D,B,A,H,B,B,B,null,true,-575,4,true,
